CFG,ITM_DESC,CHANNEL_ID,PRODUCT_ID,PRODUCT_NAME,SCHEDULER_NAME,DMND_WEEK_STRT_DATE,VRSN_WEEK_STRT_DATE,MRP_FCST_QTY,SUPPLY_CHAIN_TYPE,,LEAD_TIME
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",30000,57453,57453,BTX_VOSTRO_NOTEBOOKS,20-08-2016,26-12-2015,0,BTS,21:42.6,,20:00
"BTRY,PRI,35WHR,2C,LITH,SIMPLO",2190,64250,64250,BTX_LATITUDE,02-07-2016,07-05-2016,24,BTO,32:44.2,,20:00
"BTRY,PRI,97WHR,9C,LITH,SIMP",5001416,199,199,NORMAWARZURA_MAT (BATTERY_APJ),01-10-2016,05-12-2015,3,CTO,02:40.4,,20:00
"BTRY,PRI,43WHR,3C,LITH,LGC",5364,57283,57283,BTX_PERSONAL_NOTEBOOKS_BRZ,02-04-2016,24-10-2015,6,BTO,02:40.4,,20:00
"BTRY,PRI,47WHR,3C,LITH,SIMPLO",5000004,62850,62850,BTX_LATITUDE,02-04-2016,31-10-2015,6,BTO,02:40.4,,20:00
"BTRY,PRI,35WHR,2C,LITH,SIMPLO",5000948,64248,64248,BTX_LATITUDE,11-06-2016,19-12-2015,0,BTO,02:40.4,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60704,60704,BTX_VOSTRO_NOTEBOOKS,09-04-2016,16-01-2016,0,BTS,14:57.8,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",5364,55727,55727,BTX_PERSONAL_NOTEBOOKS_BRZ,05-11-2016,27-02-2016,0,BTO,52:53.0,,20:00
"BTRY,PRI,35WHR,2C,LITH,SIMPLO",5000004,64248,64248,BTX_LATITUDE,07-01-2017,07-05-2016,8,BTO,32:44.2,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",1865,62856,62856,BTX_LATITUDE,22-10-2016,16-01-2016,876,BTS,14:57.8,,20:00
"BTRY,PRI,56WHR,3C,LITH,LGC",5000005,60813,60813,BTX_XPS_NOTEBOOKS,24-09-2016,09-01-2016,15,BTO,13:36.0,,20:00
"BTRY,PRI,97WHR,9C,LITH,SIMP",1865,75570,75570,JACQUEL_HIGHTOWER(LARGE ORDERS),20-02-2016,09-01-2016,0,CTO,13:36.0,,20:00
"BTRY,PRI,56WHR,3C,LITH,LGC",5000005,61333,61333,NORMAWARZURA_MAT (BATTERY_APJ),31-10-2015,17-10-2015,1,CTO,02:40.4,,20:00
"BTRY,PRI,30WHR,3C,LITH,LGC",5000960,57616,57616,BTX_LATITUDE,23-04-2016,28-11-2015,0,BTO,02:40.4,,20:00
"BTRY,PRI,30WHR,3C,LITH,LGC",5000960,57616,57616,BTX_LATITUDE,23-04-2016,28-11-2015,0,BTO,02:40.4,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",5000948,62851,62851,NORMAWARZURA_MAT (BATTERY_APJ),12-11-2016,12-03-2016,1,CTO,21:27.0,,20:00
"BTRY,PRI,30WHR,3C,LITH,LGC",5000960,57616,57616,BTX_LATITUDE,23-04-2016,28-11-2015,0,BTO,02:40.4,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",2190,55725,55725,BTX_PERSONAL_NOTEBOOKS,21-05-2016,16-04-2016,0,BTO,46:40.9,,20:00
"BTRY,PRI,43WHR,3C,LITH,LGC",5000960,63251,63251,BTX_PERSONAL_NOTEBOOKS,23-04-2016,12-12-2015,147,BTO,02:40.4,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",5000005,62878,62878,MAGGIE_ZHONG,21-05-2016,23-04-2016,33,CTO,59:38.0,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",5000236,74360,74360,BTX_PERSONAL_NOTEBOOKS,15-10-2016,30-01-2016,0,BTO,17:43.1,,20:00
"BTRY,PRI,66WHR,6C,SDI,LL14",2190,62881,62881,BTX_LATITUDE,30-07-2016,26-12-2015,0,BTS,21:42.6,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",5000947,55728,55728,BTX_PERSONAL_NOTEBOOKS,02-07-2016,19-03-2016,0,BTO,15:39.5,,20:00
"BTRY,PRI,55WHR,4C,LITH,SIMPLO",2190,62907,62907,BTX_LATITUDE,20-08-2016,07-05-2016,90,BTS,32:44.2,,20:00
"BTRY,PRI,66WHR,6C,SDI,LL14",2190,62881,62881,BTX_LATITUDE,30-07-2016,26-12-2015,0,BTS,21:42.6,,20:00
"BTRY,PRI,32WHR,2C,LITH,SIMPLO",1865,75863,75863,JACQUEL_HIGHTOWER(LARGE ORDERS),26-03-2016,28-11-2015,0,CTO,02:40.4,,20:00
"BTRY,PRI,97WHR,9C,LITH,SIMP",5001417,52370,52370,NORMAWARZURA_MAT (BATTERY_APJ),13-02-2016,03-10-2015,1,CTO,51:30.0,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",2190,55725,55725,BTX_PERSONAL_NOTEBOOKS,21-05-2016,16-04-2016,0,BTO,46:40.9,,20:00
"BTRY,PRI,56WHR,4C,LITH,SIMPLO",5000004,61590,61590,BTX_XPS_NOTEBOOKS,02-04-2016,09-04-2016,0,BTS,00:02.3,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60147,60147,BTX_PERSONAL_NOTEBOOKS,09-04-2016,16-01-2016,0,BTO,14:57.8,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",5364,60146,60146,BTX_PERSONAL_NOTEBOOKS_BRZ,27-08-2016,23-04-2016,121,BTO,59:38.0,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",2190,55725,55725,BTX_PERSONAL_NOTEBOOKS,21-05-2016,16-04-2016,0,BTO,46:40.9,,20:00
"BTRY,PRI,66WHR,6C,SDI,LL14",5000236,62878,62878,NORMAWARZURA_MAT (BATTERY_APJ),09-07-2016,09-01-2016,605,CTO,13:36.0,,20:00
"BTRY,PRI,65WHR,6C,LITH,SIMP",5000005,57191,57191,MAGGIE_ZHONG,22-10-2016,09-04-2016,0,CTO,00:02.3,,20:00
"BTRY,PRI,35WHR,2C,LITH,SIMPLO",2190,64248,64248,BTX_LATITUDE,12-03-2016,30-01-2016,201,BTO,17:43.1,,20:00
"BTRY,ADDL,97WHR,9C,SLC,SIMPLO",5001416,199,199,MAGGIE_ZHONG,12-11-2016,07-05-2016,10,CTO,32:44.2,,20:00
"BTRY,PRI,51WHR,4C,LITH,SIMPLO",5000236,57527,57527,NORMAWARZURA_MAT (BATTERY_APJ),25-06-2016,13-02-2016,0,CTO,57:56.9,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
,,,,,,,,,,,20:00
